"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"85",16,90,9,61,50,35,23,0,5,35,0,81,48,97,100,100,5,7,16,90,9,61,50,35,23,0,5,35,0,81,48,97,100,100,5,7
"86",21,88,0,57,88,58,88,18,15,0,8,42,12,83,100,100,5,7,21,88,0,57,88,58,88,18,15,0,8,42,12,83,100,100,5,7
"87",0,100,54,98,91,85,71,52,62,17,74,0,100,32,42,37,7,9,0,100,54,98,91,85,71,52,62,17,74,0,100,32,42,37,7,9
"88",47,93,1,67,0,16,53,0,100,32,95,81,42,100,7,62,0,10,47,93,1,67,0,16,53,0,100,32,95,81,42,100,7,62,0,10
"89",38,51,8,66,0,19,42,0,87,26,100,71,61,100,16,84,0,5,38,51,8,66,0,19,42,0,87,26,100,71,61,100,16,84,0,5
"90",95,92,50,100,21,77,74,87,100,86,69,56,37,26,0,0,9,9,95,92,50,100,21,77,74,87,100,86,69,56,37,26,0,0,9,9
"91",18,88,2,54,40,25,2,0,0,30,20,70,45,100,100,93,5,7,18,88,2,54,40,25,2,0,0,30,20,70,45,100,100,93,5,7
"92",39,100,23,82,0,52,1,21,48,0,100,16,70,42,6,55,6,4,39,100,23,82,0,52,1,21,48,0,100,16,70,42,6,55,6,4
"93",22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,4,6,22,100,1,66,0,33,50,32,100,36,82,63,77,30,71,0,4,6
"94",3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,7,9,3,96,53,100,81,68,83,28,72,0,100,34,51,41,0,43,7,9
"95",0,65,38,79,62,100,72,86,77,65,79,43,83,21,100,0,1,3,0,65,38,79,62,100,72,86,77,65,79,43,83,21,100,0,1,3
"96",19,81,0,41,12,0,54,1,88,29,100,71,72,100,31,91,0,5,19,81,0,41,12,0,54,1,88,29,100,71,72,100,31,91,0,5
"97",0,60,38,80,80,100,100,92,80,69,65,46,55,23,55,0,1,3,0,60,38,80,80,100,100,92,80,69,65,46,55,23,55,0,1,3
"98",40,72,16,50,96,69,70,100,0,73,65,57,100,47,94,0,9,3,40,72,16,50,96,69,70,100,0,73,65,57,100,47,94,0,9,3
"99",100,100,63,78,28,53,0,27,4,0,60,1,78,22,24,21,6,4,100,100,63,78,28,53,0,27,4,0,60,1,78,22,24,21,6,4
"100",33,58,19,90,78,100,91,62,51,28,0,2,37,1,100,0,2,2,33,58,19,90,78,100,91,62,51,28,0,2,37,1,100,0,2,2
"101",14,91,9,52,28,10,74,0,100,38,86,81,43,100,0,80,0,10,14,91,9,52,28,10,74,0,100,38,86,81,43,100,0,80,0,10
"102",20,85,62,100,71,72,45,52,98,47,100,17,53,0,0,0,3,9,20,85,62,100,71,72,45,52,98,47,100,17,53,0,0,0,3,9
"103",9,100,0,66,20,25,61,0,100,21,93,64,54,91,9,76,0,5,9,100,0,66,20,25,61,0,100,21,93,64,54,91,9,76,0,5
"104",42,83,60,53,89,11,13,0,0,33,77,57,100,92,18,100,8,1,42,83,60,53,89,11,13,0,0,33,77,57,100,92,18,100,8,1
"105",4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62,0,10,4,63,12,15,52,0,92,15,100,63,72,100,28,97,0,62,0,10
"106",38,94,90,100,94,79,59,57,68,33,100,12,54,0,0,1,3,9,38,94,90,100,94,79,59,57,68,33,100,12,54,0,0,1,3,9
"107",22,55,10,60,0,18,46,0,89,28,100,70,68,100,29,69,0,5,22,55,10,60,0,18,46,0,89,28,100,70,68,100,29,69,0,5
"108",27,100,0,58,12,5,62,0,100,39,97,91,48,97,18,53,0,10,27,100,0,58,12,5,62,0,100,39,97,91,48,97,18,53,0,10
"109",43,94,15,66,52,38,20,0,5,35,0,83,42,100,100,98,5,7,43,94,15,66,52,38,20,0,5,35,0,83,42,100,100,98,5,7
"110",0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0,4,6,0,87,37,100,19,70,5,42,88,49,100,58,84,28,88,0,4,6
"111",73,98,35,100,0,59,0,13,71,8,100,45,29,41,9,0,6,4,73,98,35,100,0,59,0,13,71,8,100,45,29,41,9,0,6,4
"112",15,73,0,34,30,0,81,1,100,38,87,78,44,100,16,68,0,10,15,73,0,34,30,0,81,1,100,38,87,78,44,100,16,68,0,10
"113",85,100,30,84,5,54,0,22,48,0,100,21,66,47,0,37,6,4,85,100,30,84,5,54,0,22,48,0,100,21,66,47,0,37,6,4
"114",0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,8,1,0,88,24,68,76,33,43,0,29,32,84,66,100,100,8,89,8,1
"115",50,97,72,68,100,100,42,86,93,72,89,48,70,7,0,0,9,9,50,97,72,68,100,100,42,86,93,72,89,48,70,7,0,0,9,9
"116",42,100,9,79,0,46,48,31,100,46,89,52,46,30,19,0,4,6,42,100,9,79,0,46,48,31,100,46,89,52,46,30,19,0,4,6
"117",7,100,0,56,51,37,39,0,9,15,5,62,42,92,100,96,5,7,7,100,0,56,51,37,39,0,9,15,5,62,42,92,100,96,5,7
"118",100,77,92,100,49,76,18,48,0,15,38,0,75,23,29,27,6,4,100,77,92,100,49,76,18,48,0,15,38,0,75,23,29,27,6,4
"119",44,66,67,100,80,62,47,25,5,0,0,3,50,4,100,7,2,2,44,66,67,100,80,62,47,25,5,0,0,3,50,4,100,7,2,2
"120",37,100,48,57,74,97,27,97,80,68,100,26,49,0,0,22,9,9,37,100,48,57,74,97,27,97,80,68,100,26,49,0,0,22,9,9
"121",100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,8,1,100,89,40,83,63,40,84,0,0,7,53,53,80,100,3,78,8,1
"122",45,93,0,60,75,69,89,29,19,0,15,43,26,93,100,100,5,7,45,93,0,60,75,69,89,29,19,0,15,43,26,93,100,100,5,7
"123",45,100,10,67,7,16,56,0,100,31,91,79,38,95,0,61,0,10,45,100,10,67,7,16,56,0,100,31,91,79,38,95,0,61,0,10
"124",13,68,15,30,42,0,86,19,100,56,84,90,33,100,0,73,0,10,13,68,15,30,42,0,86,19,100,56,84,90,33,100,0,73,0,10
"125",49,83,8,57,0,17,51,0,93,28,100,70,61,100,8,86,0,5,49,83,8,57,0,17,51,0,93,28,100,70,61,100,8,86,0,5
"126",16,100,0,78,5,54,41,32,93,39,100,48,91,24,89,0,4,6,16,100,0,78,5,54,41,32,93,39,100,48,91,24,89,0,4,6
"127",22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,7,3,22,93,0,95,50,97,100,100,67,81,43,56,28,28,30,0,7,3
"128",52,91,72,100,87,70,57,43,100,45,90,15,43,0,0,12,3,9,52,91,72,100,87,70,57,43,100,45,90,15,43,0,0,12,3,9
"129",96,100,52,95,48,76,96,98,100,85,71,54,39,25,0,0,9,9,96,100,52,95,48,76,96,98,100,85,71,54,39,25,0,0,9,9
"130",29,73,56,100,68,71,45,38,11,12,0,8,50,6,100,0,2,2,29,73,56,100,68,71,45,38,11,12,0,8,50,6,100,0,2,2
"131",14,94,4,63,43,36,36,0,10,27,0,72,47,92,100,100,5,7,14,94,4,63,43,36,36,0,10,27,0,72,47,92,100,100,5,7
"132",53,87,32,47,98,64,69,100,58,69,100,61,71,3,0,0,9,9,53,87,32,47,98,64,69,100,58,69,100,61,71,3,0,0,9,9
"133",68,100,24,83,0,41,13,0,60,3,99,30,100,71,55,89,0,5,68,100,24,83,0,41,13,0,60,3,99,30,100,71,55,89,0,5
"134",100,98,60,100,29,73,10,41,6,6,46,0,46,27,0,30,6,4,100,98,60,100,29,73,10,41,6,6,46,0,46,27,0,30,6,4
"135",100,70,58,100,10,75,0,24,48,0,100,19,97,68,45,81,0,4,100,70,58,100,10,75,0,24,48,0,100,19,97,68,45,81,0,4
"136",84,100,59,99,16,72,0,42,20,12,100,0,94,22,4,27,6,4,84,100,59,99,16,72,0,42,20,12,100,0,94,22,4,27,6,4
"137",100,100,53,81,25,54,11,25,38,0,99,8,65,29,0,25,6,4,100,100,53,81,25,54,11,25,38,0,99,8,65,29,0,25,6,4
"138",0,42,30,56,59,72,86,94,100,100,80,68,62,35,53,0,1,3,0,42,30,56,59,72,86,94,100,100,80,68,62,35,53,0,1,3
"139",67,100,30,90,0,57,41,40,100,53,98,67,66,34,40,0,4,6,67,100,30,90,0,57,41,40,100,53,98,67,66,34,40,0,4,6
"140",73,85,31,65,0,0,52,9,100,57,82,100,81,78,38,25,0,10,73,85,31,65,0,0,52,9,100,57,82,100,81,78,38,25,0,10
"141",28,82,0,39,30,0,80,5,100,54,70,99,22,100,7,50,0,10,28,82,0,39,30,0,80,5,100,54,70,99,22,100,7,50,0,10
"142",86,100,48,79,13,52,0,22,45,0,100,16,76,40,6,35,6,4,86,100,48,79,13,52,0,22,45,0,100,16,76,40,6,35,6,4
"143",40,79,61,100,78,72,46,41,0,16,1,5,61,1,100,0,2,2,40,79,61,100,78,72,46,41,0,16,1,5,61,1,100,0,2,2
"144",100,88,69,100,20,84,70,86,93,71,70,44,38,19,0,0,9,9,100,88,69,100,20,84,70,86,93,71,70,44,38,19,0,0,9,9
"145",30,98,16,60,53,28,46,0,13,29,0,68,27,95,100,100,5,7,30,98,16,60,53,28,46,0,13,29,0,68,27,95,100,100,5,7
"146",2,78,46,99,100,100,77,76,94,38,94,0,41,3,0,28,3,9,2,78,46,99,100,100,77,76,94,38,94,0,41,3,0,28,3,9
"147",0,42,34,57,64,79,95,100,100,85,81,57,62,28,45,0,1,3,0,42,34,57,64,79,95,100,100,85,81,57,62,28,45,0,1,3
"148",19,100,4,77,0,51,46,36,100,47,96,49,87,23,77,0,4,6,19,100,4,77,0,51,46,36,100,47,96,49,87,23,77,0,4,6
"149",3,66,16,100,27,69,14,32,0,0,33,5,67,10,100,11,2,2,3,66,16,100,27,69,14,32,0,0,33,5,67,10,100,11,2,2
"150",47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,4,6,47,100,40,82,18,49,0,19,53,20,92,34,94,35,100,0,4,6
"151",29,38,61,60,92,83,100,100,73,76,49,50,25,25,0,0,1,3,29,38,61,60,92,83,100,100,73,76,49,50,25,25,0,0,1,3
"152",0,63,41,77,79,94,100,100,85,74,75,48,71,22,82,0,1,3,0,63,41,77,79,94,100,100,85,74,75,48,71,22,82,0,1,3
"153",0,52,52,83,97,100,91,55,84,10,21,0,21,7,100,7,1,2,0,52,52,83,97,100,91,55,84,10,21,0,21,7,100,7,1,2
"154",65,100,24,84,0,48,9,10,61,0,100,24,58,47,2,46,6,4,65,100,24,84,0,48,9,10,61,0,100,24,58,47,2,46,6,4
"155",88,80,12,80,100,100,100,91,65,68,29,46,6,23,0,0,1,9,88,80,12,80,100,100,100,91,65,68,29,46,6,23,0,0,1,9
"156",13,80,53,71,100,100,23,99,0,71,81,74,74,40,47,0,9,3,13,80,53,71,100,100,23,99,0,71,81,74,74,40,47,0,9,3
"157",0,79,51,59,100,29,51,0,22,26,51,60,73,94,9,100,8,1,0,79,51,59,100,29,51,0,22,26,51,60,73,94,9,100,8,1
"158",72,100,38,84,13,63,0,40,40,28,88,31,100,22,84,0,4,6,72,100,38,84,13,63,0,40,40,28,88,31,100,22,84,0,4,6
"159",0,100,67,100,86,72,56,37,34,0,6,33,32,45,100,46,7,2,0,100,67,100,86,72,56,37,34,0,6,33,32,45,100,46,7,2
"160",37,84,69,100,96,87,55,61,88,38,100,9,51,0,0,3,3,9,37,84,69,100,96,87,55,61,88,38,100,9,51,0,0,3,3,9
"161",0,100,73,97,95,80,100,64,95,48,82,31,64,15,23,0,1,9,0,100,73,97,95,80,100,64,95,48,82,31,64,15,23,0,1,9
"162",0,59,77,74,100,100,17,93,7,71,82,68,45,35,20,0,9,3,0,59,77,74,100,100,17,93,7,71,82,68,45,35,20,0,9,3
"163",2,85,31,100,76,74,62,37,47,0,100,8,68,30,0,41,7,9,2,85,31,100,76,74,62,37,47,0,100,8,68,30,0,41,7,9
"164",13,100,0,76,28,53,94,56,100,76,93,66,94,33,91,0,4,6,13,100,0,76,28,53,94,56,100,76,93,66,94,33,91,0,4,6
"165",21,75,40,100,85,94,67,63,100,43,95,11,47,0,0,13,3,9,21,75,40,100,85,94,67,63,100,43,95,11,47,0,0,13,3,9
"166",48,100,15,83,0,39,23,1,71,0,100,34,86,77,44,98,0,5,48,100,15,83,0,39,23,1,71,0,100,34,86,77,44,98,0,5
"167",24,100,100,99,93,78,64,48,39,17,19,0,0,31,72,38,7,2,24,100,100,99,93,78,64,48,39,17,19,0,0,31,72,38,7,2
"168",45,85,93,100,100,98,48,88,7,62,48,48,48,18,0,0,5,9,45,85,93,100,100,98,48,88,7,62,48,48,48,18,0,0,5,9
"169",54,93,0,88,54,46,70,0,5,9,54,52,100,96,7,100,8,1,54,93,0,88,54,46,70,0,5,9,54,52,100,96,7,100,8,1
"170",46,83,87,100,100,79,75,54,90,36,100,13,49,0,0,12,3,9,46,83,87,100,100,79,75,54,90,36,100,13,49,0,0,12,3,9
"171",84,100,46,98,13,60,0,19,53,0,100,32,33,36,10,4,6,4,84,100,46,98,13,60,0,19,53,0,100,32,33,36,10,4,6,4
"172",26,74,19,49,64,21,20,0,1,25,0,64,45,87,100,100,5,7,26,74,19,49,64,21,20,0,1,25,0,64,45,87,100,100,5,7
"173",39,62,78,88,79,100,57,64,38,30,0,0,34,4,100,0,1,2,39,62,78,88,79,100,57,64,38,30,0,0,34,4,100,0,1,2
"174",14,100,1,54,51,47,36,0,0,14,6,71,42,93,100,97,5,7,14,100,1,54,51,47,36,0,0,14,6,71,42,93,100,97,5,7
"175",0,65,43,76,93,96,100,100,71,75,48,50,26,25,5,0,1,3,0,65,43,76,93,96,100,100,71,75,48,50,26,25,5,0,1,3
"176",0,70,53,88,64,100,62,78,70,57,83,36,100,14,98,0,1,3,0,70,53,88,64,100,62,78,70,57,83,36,100,14,98,0,1,3
"177",0,67,16,80,64,100,85,99,85,74,89,49,95,24,100,0,1,3,0,67,16,80,64,100,85,99,85,74,89,49,95,24,100,0,1,3
"178",88,99,45,82,78,75,90,100,100,68,93,36,59,9,0,0,9,9,88,99,45,82,78,75,90,100,100,68,93,36,59,9,0,0,9,9
"179",30,100,16,84,0,51,28,26,80,33,100,65,79,34,68,0,4,6,30,100,16,84,0,51,28,26,80,33,100,65,79,34,68,0,4,6
"180",24,100,14,55,72,52,54,0,8,2,0,58,35,95,100,99,5,7,24,100,14,55,72,52,54,0,8,2,0,58,35,95,100,99,5,7
"181",0,78,18,96,59,95,100,100,86,82,66,56,52,29,47,0,7,3,0,78,18,96,59,95,100,100,86,82,66,56,52,29,47,0,7,3
"182",0,91,46,100,85,80,91,40,88,0,99,22,100,52,50,49,7,9,0,91,46,100,85,80,91,40,88,0,99,22,100,52,50,49,7,9
"183",21,92,85,100,90,67,67,34,49,0,0,26,27,43,100,42,7,2,21,92,85,100,90,67,67,34,49,0,0,26,27,43,100,42,7,2
